,Spanish,English
0,que,what
1,de,of
2,no,no
3,a,a
4,la,the
5,el,the
6,es,it is
7,y,Y
8,en,in
9,lo,it
10,un,and
11,por,by
12,qué,what
13,me,me
14,una,a
15,te,the
16,los,the
17,se,with
18,con,with
19,para,for
20,mi,me
21,está,it is
22,si,and
23,bien,good
24,pero,but
25,yo,they
26,eso,it's
27,las,the
28,sí,Yes
29,su,are
30,tu,That
31,aquí,here
32,del,of
33,al,al
34,como,as
35,le,the
36,más,plus
37,esto,this
38,ya,of
39,todo,all
40,esta,is
41,vamos,we will
42,muy,very
43,hay,good
44,ahora,now
45,algo,something
46,estoy,am
47,tengo,I've got
48,nos,us
49,tú,you
50,nada,anything
51,cuando,when
52,ha,he has
53,este,It is
54,sé,see
55,estás,are
56,así,So
57,puedo,Can I
58,cómo,What
59,quiero,I want
60,sólo,single
61,soy,soy
62,tiene,have
63,gracias,Thank you
64,o,O
65,él,the
66,bueno,Okay
67,fue,it was
68,ser,to be
69,hacer,do
70,son,son
71,todos,all
72,era,era
73,eres,are
74,vez,turn
75,tienes,you have
76,creo,I think
77,ella,she
78,he,he
79,ese,that
80,voy,I go
81,puede,can
82,sabes,you know
83,hola,hour
84,sus,their
85,porque,why
86,dios,god
87,quién,who
88,nunca,Never
89,dónde,where
90,quieres,you want
91,casa,House
92,favor,favor
93,esa,this
94,dos,From
95,tan,tan
96,señor,mister
97,tiempo,weather
98,verdad,TRUE
99,estaba,I was
100,mejor,better
101,están,is it so
102,va,and
103,hombre,men
104,usted,you
105,mucho,much
106,hace,does
107,entonces,then
108,siento,I feel
109,tenemos,we have
110,puedes,you may
111,ahí,there
112,ti,of
113,vida,life
114,ver,to see
115,alguien,someone
116,sr,sr
117,hasta,until
118,sin,sin
119,mí,my
120,solo,alone
121,años,years
122,sobre,about
123,decir,tell
124,uno,one
125,siempre,forever
126,oh,oh
127,ir,and
128,cosas,stuff
129,también,also
130,antes,before
131,has,has
132,ni,in
133,mis,which
134,día,day
135,estar,be
136,estamos,we're
137,noche,night
138,nadie,no one
139,otra,other
140,quiere,wants
141,parece,looks
142,nosotros,us
143,poco,little bit
144,padre,father
145,trabajo,worked
146,gente,people
147,mira,mira
148,vas,your
149,sea,sea
150,les,them
151,donde,where
152,mismo,same
153,hecho,done
154,ellos,they
155,dijo,said
156,pasa,happens
157,dinero,money
158,hijo,son
159,tal,turn
160,otro,other
161,hablar,speak
162,seguro,safe
163,claro,clear
164,estas,is
165,lugar,place
166,mundo,world
167,amigo,friend
168,espera,wait
169,mierda,shit
170,han,he
171,tus,the
172,sabe,You know
173,después,after
174,momento,time
175,desde,since
176,fuera,outside
177,cosa,What
178,tipo,type
179,mañana,morning
180,podemos,we can
181,dije,said
182,gran,great
183,necesito,needed
184,estado,state
185,podría,could
186,acuerdo,agreement
187,papá,father
188,tener,to have
189,dice,dice
190,mío,Own
191,crees,You believe
192,buena,good
193,gusta,like
194,nuestro,our
195,nuevo,new
196,será,it will be
197,haciendo,making
198,días,days
199,nombre,Name
200,buen,good
201,había,there was
202,ven,ven
203,tres,three
204,menos,any less
205,debe,must
206,tenía,I had
207,mal,times
208,conmigo,with me
209,madre,mother
210,hoy,today
211,quien,who
212,sido,been
213,mamá,breast
214,tienen,have
215,luego,later
216,todas,all
217,allí,over there
218,toda,all
219,hora,hour
220,mujer,woman
221,visto,view
222,haces,you do
223,importa,it matters
224,contigo,with you
225,ve,ve
226,tarde,afternoon
227,oye,understand
228,parte,part
229,haber,to have
230,hombres,mens
231,problema,problem
232,mas,but
233,saber,know
234,quería,wanted
235,aún,even
236,veces,times
237,nuestra,our
238,hacerlo,do it
239,cada,each
240,hizo,Those
241,veo,I see
242,tanto,so much
243,razón,reason
244,ustedes,your
245,idea,idea
246,esos,those
247,van,from
248,quizá,Maybe
249,debo,I shall
250,alguna,some
251,cierto,certain
252,ud,out
253,muerto,dead
254,unos,some
255,estos,these
256,salir,leave
257,policía,policeman
258,realmente,really
259,demasiado,too
260,familia,family
261,pueden,they can
262,cabeza,head
263,hemos,we have
264,amigos,friends
265,chica,girl
266,cariño,sweetie
267,lado,side
268,allá,there
269,entre,in between
270,minutos,minute
271,digo,I say
272,algún,some
273,serio,serious
274,cuidado,caution
275,pasó,I pass
276,buenas,good
277,somos,are
278,amor,love
279,puerta,gate
280,ves,know
281,vaya,wow
282,ah,like
283,suerte,luck
284,eh,Eh
285,rápido,fast
286,cuenta,bill
287,quizás,maybe
288,esas,those
289,pues,well
290,pasado,past
291,pensé,think
292,todavía,yet
293,hermano,brother
294,debes,you should
295,casi,almost
296,forma,form
297,aqui,here
298,chico,chico
299,ok,ok
300,dicho,saying
301,nueva,new
302,sabía,I knew
303,muchas,many
304,dentro,inside
305,hice,I did
306,contra,against
307,auto,auto
308,camino,road
309,ayuda,aid
310,primera,first
311,hacia,towards
312,vi,we
313,miedo,fear
314,adiós,bye
315,primero,first
316,debería,should
317,poder,can
318,niños,kids
319,sería,would
320,historia,history
321,hey,hey
322,mientras,while
323,ciudad,city
324,dijiste,said
325,espero,expect
326,cuánto,how many
327,esposa,wife
328,pronto,ready
329,chicos,Boys
330,cualquier,any
331,viejo,old
332,debemos,must
333,deja,already
334,año,year
335,muerte,death
336,hablando,talking
337,manos,hands
338,da,and
339,loco,place
340,problemas,problems
341,mano,thousand
342,guerra,war
343,semana,week
344,pasar,market
345,vale,Valley
346,cuál,which
347,viene,he comes
348,volver,return
349,toma,taking
350,caso,case
351,agua,Water
352,haré,I will do
353,vete,self
354,entiendo,I get it
355,horas,hours
356,personas,people
357,capitán,captain
358,adelante,ahead
359,niño,little boy
360,listo,List
361,noches,nights
362,buenos,good ones
363,iba,Other
364,juntos,together
365,dame,dame
366,único,single
367,déjame,let me
368,cerca,fence
369,otros,others
370,sigue,follow
371,grande,great
372,arriba,up
373,jefe,boss
374,habla,speech
375,supongo,I guess
376,manera,way
377,quieren,They want
378,feliz,happy
379,significa,means
380,sangre,blood
381,fin,end
382,bajo,bass
383,llama,call
384,venir,come
385,morir,To die
386,importante,important
387,hiciste,did
388,ojos,eyes
389,escucha,listen
390,entrar,log in
391,ningún,none
392,corazón,heart
393,diablos,Devils
394,necesitamos,We need
395,atrás,back
396,durante,during
397,dices,You say
398,nuestros,our
399,persona,person
400,abajo,down
401,dr,dr
402,hija,it
403,dejar,let
404,necesita,needs to
405,llegar,get
406,hago,I make
407,señora,Mrs
408,haya,these
409,suficiente,enough
410,doctor,doctor
411,gustaría,would like
412,tierra,Earth
413,cara,method
414,siquiera,even
415,genial,genial
416,cree,Believe
