Spanish,English
que,what
de,of
no,no
a,a
la,the
el,the
es,it is
y,Y
en,in
lo,it
un,and
por,by
qué,what
me,me
una,a
te,the
los,the
se,with
con,with
para,for
mi,me
está,it is
si,and
bien,good
pero,but
yo,they
eso,it's
las,the
sí,Yes
su,are
tu,That
aquí,here
del,of
al,al
como,as
le,the
más,plus
esto,this
ya,of
todo,all
esta,is
vamos,we will
muy,very
hay,good
ahora,now
algo,something
estoy,am
tengo,I've got
nos,us
tú,you
nada,anything
cuando,when
ha,he has
este,It is
sé,see
estás,are
así,So
puedo,Can I
cómo,What
quiero,I want
sólo,single
soy,soy
tiene,have
gracias,Thank you
o,O
él,the
bueno,Okay
fue,it was
ser,to be
hacer,do
son,son
todos,all
era,era
eres,are
vez,turn
tienes,you have
creo,I think
ella,she
he,he
ese,that
voy,I go
puede,can
sabes,you know
hola,hour
sus,their
porque,why
dios,god
quién,who
nunca,Never
dónde,where
quieres,you want
casa,House
favor,favor
esa,this
dos,From
tan,tan
señor,mister
tiempo,weather
verdad,TRUE
estaba,I was
mejor,better
están,is it so
va,and
hombre,men
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,we have
puedes,you may
ahí,there
ti,of
vida,life
ver,to see
alguien,someone
sr,sr
hasta,until
sin,sin
mí,my
solo,alone
años,years
sobre,about
decir,tell
uno,one
siempre,forever
oh,oh
ir,and
cosas,stuff
también,also
antes,before
has,has
ni,in
mis,which
día,day
estar,be
estamos,we're
noche,night
nadie,no one
otra,other
quiere,wants
parece,looks
nosotros,us
poco,little bit
padre,father
trabajo,worked
gente,people
mira,mira
vas,your
sea,sea
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,said
pasa,happens
dinero,money
hijo,son
tal,turn
otro,other
hablar,speak
seguro,safe
claro,clear
estas,is
lugar,place
mundo,world
amigo,friend
espera,wait
mierda,shit
han,he
tus,the
sabe,You know
después,after
momento,time
desde,since
fuera,outside
cosa,What
tipo,type
mañana,morning
podemos,we can
dije,said
gran,great
necesito,needed
estado,state
podría,could
acuerdo,agreement
papá,father
tener,to have
dice,dice
mío,Own
crees,You believe
buena,good
gusta,like
nuestro,our
nuevo,new
será,it will be
haciendo,making
días,days
nombre,Name
buen,good
había,there was
ven,ven
tres,three
menos,any less
debe,must
tenía,I had
mal,times
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,breast
tienen,have
luego,later
todas,all
allí,over there
toda,all
hora,hour
mujer,woman
visto,view
haces,you do
importa,it matters
contigo,with you
ve,ve
tarde,afternoon
oye,understand
parte,part
haber,to have
hombres,mens
problema,problem
mas,but
saber,know
quería,wanted
aún,even
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,Those
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,from
quizá,Maybe
debo,I shall
alguna,some
cierto,certain
ud,out
muerto,dead
unos,some
estos,these
salir,leave
